Wall time,Step,Value
1550232078.5126097,0,17.43684959411621
1550232184.7832525,11,8.767901420593262
1550232305.5052574,25,7.228507995605469
1550232424.9914203,38,6.820520877838135
1550232545.7302306,51,5.182720184326172
1550232665.7821949,64,5.0334601402282715
1550232785.5571454,77,5.192480087280273
1550232905.3664339,90,4.289188861846924
1550233024.7896922,103,4.47260046005249
1550233145.015207,116,4.381634712219238
1550233265.1582904,129,4.324870586395264
1550233384.7590418,142,3.9764931201934814
1550233505.2827394,156,3.822293281555176
1550233624.9981225,169,4.747586727142334
1550233745.054677,182,3.6497998237609863
1550233865.680597,195,3.5140697956085205
1550233985.6001945,208,4.30126428604126
1550234105.226958,220,4.305406093597412
1550234225.676325,233,3.199188232421875
1550234345.2668278,245,3.661019802093506
1550234465.072131,257,2.4556005001068115
1550234584.7835817,270,3.5429844856262207
1550234705.032738,283,3.121138095855713
1550234825.4517207,297,2.8881213665008545
1550234945.2395768,310,2.765117883682251
1550235065.9345481,323,3.0812065601348877
1550235184.9454541,336,2.829087018966675
1550235304.9299278,349,3.0305330753326416
1550235424.8177032,362,2.564100980758667
1550235544.7682552,375,2.7304306030273438
1550235665.308334,388,2.6690962314605713
1550235785.3199744,401,3.5846219062805176
1550235904.8391998,414,2.7607836723327637
1550236024.8185267,427,3.224249839782715
1550236144.8363502,440,3.2805347442626953
1550236265.8866177,453,2.8410778045654297
