Wall time,Step,Value
1550232078.5126097,0,3.300811767578125
1550232184.7832525,11,2.2646737098693848
1550232305.5052574,25,1.8509801626205444
1550232424.9914203,38,1.739551305770874
1550232545.7302306,51,0.9815019965171814
1550232665.7821949,64,1.0231965780258179
1550232785.5571454,77,1.0636203289031982
1550232905.3664339,90,0.7916113138198853
1550233024.7896922,103,0.7616000771522522
1550233145.015207,116,0.7494851350784302
1550233265.1582904,129,0.7532075643539429
1550233384.7590418,142,0.7577258348464966
1550233505.2827394,156,0.6518991589546204
1550233624.9981225,169,0.8538251519203186
1550233745.054677,182,0.528376579284668
1550233865.680597,195,0.6056522727012634
1550233985.6001945,208,0.7481356263160706
1550234105.226958,220,0.6849960684776306
1550234225.676325,233,0.45974037051200867
1550234345.2668278,245,0.45225703716278076
1550234465.072131,257,0.28010696172714233
1550234584.7835817,270,0.5331676602363586
1550234705.032738,283,0.42939823865890503
1550234825.4517207,297,0.38681328296661377
1550234945.2395768,310,0.38680997490882874
1550235065.9345481,323,0.48369061946868896
1550235184.9454541,336,0.3627268075942993
1550235304.9299278,349,0.46168217062950134
1550235424.8177032,362,0.351735383272171
1550235544.7682552,375,0.3339034616947174
1550235665.308334,388,0.3022781312465668
1550235785.3199744,401,0.39907070994377136
1550235904.8391998,414,0.384813129901886
1550236024.8185267,427,0.46338939666748047
1550236144.8363502,440,0.3352274000644684
1550236265.8866177,453,0.33702322840690613
