Wall time,Step,Value
1550232067.6794043,0,0.0
1550232186.5062895,11,0.09257161617279053
1550232306.5064516,25,0.11666654050350189
1550232426.5067248,38,0.10833306610584259
1550232546.506569,51,0.1083335131406784
1550232666.5068598,64,0.1083330512046814
1550232786.5067406,77,0.10833346843719482
1550232906.5064986,90,0.1083335131406784
1550233026.5063431,103,0.10833346098661423
1550233146.5063727,116,0.10833330452442169
1550233266.5068202,129,0.10833293199539185
1550233386.5068352,142,0.10833331942558289
1550233506.5076113,156,0.11666592210531235
1550233626.5062606,169,0.10833454132080078
1550233746.5063982,183,0.11666654795408249
1550233866.5063627,195,0.10000002384185791
1550233986.5067563,208,0.10833312571048737
1550234106.5106742,220,0.09999661892652512
1550234226.5138826,233,0.10833042860031128
1550234346.5063348,245,0.10000627487897873
1550234466.5064192,258,0.10833326727151871
1550234586.5065515,270,0.10000001639127731
1550234706.5066385,284,0.11666643619537354
1550234826.5068362,297,0.1083335131406784
1550234946.5083718,310,0.10833200067281723
1550235066.5067573,323,0.10833436250686646
1550235186.506331,336,0.10833370685577393
1550235306.5063877,349,0.1083332821726799
1550235426.5067067,362,0.1083330437541008
1550235546.5073383,376,0.11666607856750488
1550235666.5070124,389,0.10833387821912766
1550235786.506487,401,0.10000018775463104
1550235906.5063245,414,0.10833349078893661
1550236026.5063121,427,0.10833334177732468
1550236146.506267,440,0.10833336412906647
1550236266.5063868,453,0.10833324491977692
1550236386.506415,465,0.09999997913837433
