Wall time,Step,Value
1550232078.5126097,0,0.004000000189989805
1550232184.7832525,11,0.004000000189989805
1550232305.5052574,25,0.004000000189989805
1550232424.9914203,38,0.004000000189989805
1550232545.7302306,51,0.004000000189989805
1550232665.7821949,64,0.004000000189989805
1550232785.5571454,77,0.004000000189989805
1550232905.3664339,90,0.004000000189989805
1550233024.7896922,103,0.004000000189989805
1550233145.015207,116,0.004000000189989805
1550233265.1582904,129,0.004000000189989805
1550233384.7590418,142,0.004000000189989805
1550233505.2827394,156,0.004000000189989805
1550233624.9981225,169,0.004000000189989805
1550233745.054677,182,0.004000000189989805
1550233865.680597,195,0.004000000189989805
1550233985.6001945,208,0.004000000189989805
1550234105.226958,220,0.004000000189989805
1550234225.676325,233,0.004000000189989805
1550234345.2668278,245,0.004000000189989805
1550234465.072131,257,0.004000000189989805
1550234584.7835817,270,0.004000000189989805
1550234705.032738,283,0.004000000189989805
1550234825.4517207,297,0.004000000189989805
1550234945.2395768,310,0.004000000189989805
1550235065.9345481,323,0.004000000189989805
1550235184.9454541,336,0.004000000189989805
1550235304.9299278,349,0.004000000189989805
1550235424.8177032,362,0.004000000189989805
1550235544.7682552,375,0.004000000189989805
1550235665.308334,388,0.004000000189989805
1550235785.3199744,401,0.004000000189989805
1550235904.8391998,414,0.004000000189989805
1550236024.8185267,427,0.004000000189989805
1550236144.8363502,440,0.004000000189989805
