Wall time,Step,Value
1550232078.5126097,0,17.105337142944336
1550232184.7832525,11,8.43637466430664
1550232305.5052574,25,6.896926403045654
1550232424.9914203,38,6.488909721374512
1550232545.7302306,51,4.851094722747803
1550232665.7821949,64,4.7018256187438965
1550232785.5571454,77,4.860834121704102
1550232905.3664339,90,3.9575302600860596
1550233024.7896922,103,4.140933513641357
1550233145.015207,116,4.049958229064941
1550233265.1582904,129,3.9931840896606445
1550233384.7590418,142,3.644796371459961
1550233505.2827394,156,3.4905881881713867
1550233624.9981225,169,4.415871620178223
1550233745.054677,182,3.318075656890869
1550233865.680597,195,3.1823368072509766
1550233985.6001945,208,3.9695239067077637
1550234105.226958,220,3.9736552238464355
1550234225.676325,233,2.867428779602051
1550234345.2668278,245,3.3292534351348877
1550234465.072131,257,2.1238276958465576
1550234584.7835817,270,3.211203098297119
1550234705.032738,283,2.7893481254577637
1550234825.4517207,297,2.5563225746154785
1550234945.2395768,310,2.4333107471466064
1550235065.9345481,323,2.7493908405303955
1550235184.9454541,336,2.4972615242004395
1550235304.9299278,349,2.6986989974975586
1550235424.8177032,362,2.232257843017578
1550235544.7682552,375,2.398580312728882
1550235665.308334,388,2.337238073348999
1550235785.3199744,401,3.2527549266815186
1550235904.8391998,414,2.4289095401763916
1550236024.8185267,427,2.8923702239990234
1550236144.8363502,440,2.9486465454101562
1550236265.8866177,453,2.5091779232025146
1550236385.5180755,465,2.4593911170959473
