Wall time,Step,Value
1550232078.5126097,0,0.3315134048461914
1550232184.7832525,11,0.3315266966819763
1550232305.5052574,25,0.331581175327301
1550232424.9914203,38,0.33161139488220215
1550232545.7302306,51,0.33162543177604675
1550232665.7821949,64,0.3316347301006317
1550232785.5571454,77,0.3316461145877838
1550232905.3664339,90,0.33165839314460754
1550233024.7896922,103,0.331666499376297
1550233145.015207,116,0.3316763639450073
1550233265.1582904,129,0.3316865861415863
1550233384.7590418,142,0.33169662952423096
1550233505.2827394,156,0.331705242395401
1550233624.9981225,169,0.33171546459198
1550233745.054677,182,0.33172422647476196
1550233865.680597,195,0.33173298835754395
1550233985.6001945,208,0.33174043893814087
1550234105.226958,220,0.33175116777420044
1550234225.676325,233,0.3317594826221466
1550234345.2668278,245,0.33176666498184204
1550234465.072131,257,0.33177268505096436
1550234584.7835817,270,0.33178120851516724
1550234705.032738,283,0.33178994059562683
1550234825.4517207,297,0.3317986726760864
1550234945.2395768,310,0.3318069875240326
1550235065.9345481,323,0.3318158984184265
1550235184.9454541,336,0.3318256437778473
1550235304.9299278,349,0.33183398842811584
1550235424.8177032,362,0.3318432569503784
1550235544.7682552,375,0.33185023069381714
1550235665.308334,388,0.3318583071231842
1550235785.3199744,401,0.3318670094013214
1550235904.8391998,414,0.33187422156333923
1550236024.8185267,427,0.3318798542022705
1550236144.8363502,440,0.3318882882595062
1550236265.8866177,453,0.3319000005722046
1550236385.5180755,465,0.3319099545478821
